mmsi,time,status,speed,longitude,latitude,draft
356269000,1637770523,15,0,128.606537,34.899021,789056
356269000,1637770703,15,1,128.606537,34.899017,789056
356269000,1637771423,15,0,128.606552,34.899006,789056
356269000,1637771604,15,0,128.606537,34.899014,789056
356269000,1637772323,15,0,128.606567,34.898998,789056
356269000,1637774483,15,0,128.606522,34.899021,789056
356269000,1637775023,15,0,128.606537,34.899002,789056
356269000,1637776285,15,0,128.606537,34.898968,789056
356269000,1637777185,15,0,128.606537,34.899002,789056
356269000,1637777364,15,0,128.606537,34.898998,789056
356269000,1637777723,15,0,128.606552,34.898998,789056
356269000,1637778083,15,0,128.606537,34.898994,789056
356269000,1637778803,15,0,128.606506,34.899002,789056
356269000,1637779883,15,0,128.606506,34.898979,789056
356269000,1637780065,15,0,128.606506,34.898975,789056
356269000,1637780963,15,0,128.606506,34.898972,789056
356269000,1637781145,15,0,128.606506,34.898979,789056
356269000,1637781864,15,0,128.606522,34.898994,789056
356269000,1637782223,15,0,128.606522,34.89901,789056
356269000,1637782943,15,0,128.606537,34.899006,789056
356269000,1637783124,15,0,128.606552,34.899006,789056
356269000,1637783847,15,0,128.606537,34.899029,789056
356269000,1637784203,15,0,128.606522,34.899006,789056
356269000,1637784748,15,0,128.606522,34.899036,789056
356269000,1637784923,15,0,128.606522,34.899036,789056
356269000,1637785283,15,0,128.606522,34.89901,789056
356269000,1637785284,15,0,128.606522,34.89901,789056
356269000,1637786008,15,0,128.606506,34.898972,789056
356269000,1637787263,15,0,128.606552,34.898998,789056
356269000,1637787444,15,0,128.606552,34.898983,789056
356269000,1637788524,15,0,128.606567,34.898998,789056
356269000,1637788528,15,0,128.606567,34.898998,789056
356269000,1637788703,15,0,128.606567,34.898987,789056
356269000,1637789423,15,0,128.606583,34.898987,789056
356269000,1637789604,15,0,128.606583,34.899002,789056
356269000,1637789968,15,0,128.606552,34.898991,789056
356269000,1637790503,15,0,128.606583,34.899036,789056
356269000,1637791584,15,0,128.606567,34.898991,789056
356269000,1637791764,15,0,128.606567,34.898975,789056
356269000,1637792663,15,0,128.606567,34.898998,789056
356269000,1637792664,15,0,128.606567,34.898998,789056
356269000,1637792844,15,0,128.606537,34.89901,789056
356269000,1637793568,15,0,128.606537,34.898994,789056
356269000,1637794105,15,0,128.606522,34.898998,789056
356269000,1637794648,15,0,128.606537,34.898983,789056
356269000,1637795544,15,0,128.606506,34.899029,789056
356269000,1637796623,15,0,128.606522,34.899029,789056
356269000,1637797168,15,0,128.606537,34.89904,789056
356269000,1637797703,15,0,128.606522,34.899048,789056
356269000,1637798065,15,0,128.606506,34.899048,789056
356269000,1637798068,15,0,128.606506,34.899048,789056
356269000,1637798783,15,0,128.606522,34.899048,789056
356269000,1637799145,15,0,128.606537,34.899017,789056
356269000,1637800224,15,0,128.606552,34.899006,789056
356269000,1637800763,15,0,128.606537,34.899021,789056
356269000,1637801128,15,0,128.606537,34.899014,789056
356269000,1637801843,15,0,128.606522,34.899017,789056
356269000,1637802388,15,0,128.606537,34.899021,789056
356269000,1637802743,15,0,128.606552,34.899002,789056
356269000,1637803288,15,0,128.606567,34.89901,789056
356269000,1637803823,15,0,128.606567,34.899014,789056
356269000,1637804903,15,0,128.606567,34.89901,789056
356269000,1637805084,15,0,128.606552,34.898998,789056
356269000,1637805808,15,0,128.606567,34.899014,789056
356269000,1637806343,15,0,128.606522,34.899002,789056
356269000,1637806345,15,0,128.606522,34.899002,789056
356269000,1637806888,15,0,128.606537,34.899021,789056
356269000,1637807243,15,0,128.606552,34.899029,789056
356269000,1637807963,15,0,128.606537,34.898991,789056
356269000,1637808504,15,0,128.606522,34.898994,789056
356269000,1637808863,15,0,128.606522,34.898991,789056
356269000,1637809585,15,0,128.606537,34.899014,789056
356269000,1637810667,15,0,128.606522,34.898998,789056
356269000,1637811023,15,0,128.606522,34.898998,789056
356269000,1637811563,15,0,128.606522,34.899021,789056
356269000,1637812105,15,1,128.606537,34.899029,789056
356269000,1637812288,15,0,128.606537,34.899021,789056
356269000,1637812463,15,0,128.606567,34.899052,789056
356269000,1637813185,15,0,128.606552,34.899052,789056
356269000,1637813368,15,0,128.606522,34.899055,789056
356269000,1637813543,15,0,128.606537,34.899025,789056
356269000,1637814626,15,0,128.606567,34.899029,789056
356269000,1637814803,15,0,128.606552,34.899006,789056
356269000,1637815523,15,0,128.606537,34.89901,789056
356269000,1637815705,15,0,128.606537,34.899017,789056
356269000,1637816965,15,0,128.606491,34.898987,789056
356269000,1637817863,15,0,128.606522,34.898998,789056
356269000,1637818404,15,0,128.606522,34.899014,789056
356269000,1637818405,15,0,128.606522,34.899014,789056
356269000,1637818763,15,0,128.606522,34.898998,789056
356269000,1637819304,15,1,128.606461,34.89901,789056
356269000,1637819665,15,0,128.606522,34.899021,789056
356269000,1637819848,15,0,128.606537,34.899021,789056
356269000,1637820022,15,0,128.606522,34.899029,789056
356269000,1637820745,15,1,128.606522,34.898998,789056
356269000,1637821464,15,0,128.606506,34.899021,789056
356269000,1637821465,15,0,128.606506,34.899021,789056
356269000,1637822183,15,0,128.606522,34.899006,789056
356269000,1637822725,15,0,128.606552,34.898987,789056
356269000,1637823802,15,0,128.606537,34.899017,789056
356269000,1637823804,15,0,128.606537,34.899017,789056
356269000,1637823805,15,0,128.606537,34.899017,789056
356269000,1637824168,15,0,128.606537,34.89901,789056
356269000,1637824523,15,0,128.606537,34.899021,789056
356269000,1637824882,15,0,128.606537,34.899017,789056
356269000,1637824887,15,0,128.606537,34.899017,789056
356269000,1637825065,15,0,128.606537,34.899021,789056
356269000,1637825248,15,0,128.606537,34.898998,789056
356269000,1637825783,15,0,128.606537,34.898983,789056
356269000,1637826865,15,1,128.606537,34.898983,789056
356269000,1637827403,15,0,128.606506,34.899033,789056
356269000,1637828483,15,0,128.606491,34.898994,789056
356269000,1637828842,15,0,128.606506,34.89901,789056
356269000,1637829745,15,0,128.606537,34.898991,789056
356269000,1637829924,15,0,128.606537,34.898991,789056
356269000,1637831003,15,0,128.606522,34.89901,789056
356269000,1637831363,15,0,128.606522,34.899017,789056
356269000,1637832079,15,0,128.606537,34.899021,789056
356269000,1637832263,15,0,128.606537,34.89901,789056
356269000,1637832443,15,0,128.606537,34.899017,789056
356269000,1637833343,15,0,128.606552,34.899036,789056
356269000,1637833884,15,0,128.606552,34.899029,789056
356269000,1637834605,15,0,128.606552,34.899036,789056
356269000,1637835865,15,0,128.606522,34.898987,789056
356269000,1637836945,15,0,128.606567,34.899021,789056
356269000,1637837303,15,0,128.606552,34.899017,789056
356269000,1637838385,15,0,128.606537,34.898994,789056
356269000,1637839463,15,0,128.606537,34.899029,789056
356269000,1637839824,15,0,128.606537,34.899025,789056
356269000,1637840363,15,0,128.606506,34.899033,789056
356269000,1637841445,15,0,128.606522,34.899036,789056
356269000,1637842705,15,0,128.606522,34.899036,789056
356269000,1637842885,15,0,128.606506,34.899033,789056
356269000,1637843247,15,0,128.606506,34.899014,789056
356269000,1637844684,15,0,128.606506,34.899017,789056
356269000,1637844865,15,0,128.606506,34.899025,789056
356269000,1637845584,15,0,128.606567,34.89904,789056
356269000,1637845585,15,0,128.606567,34.89904,789056
356269000,1637845945,15,0,128.606583,34.899029,789056
356269000,1637846844,15,0,128.606567,34.899002,789056
356269000,1637846845,15,0,128.606567,34.899002,789056
356269000,1637847564,15,0,128.606552,34.899025,789056
356269000,1637847744,15,0,128.606552,34.899033,789056
356269000,1637848286,15,0,128.606537,34.89904,789056
356269000,1637848823,15,0,128.606522,34.89901,789056
356269000,1637849185,15,0,128.606506,34.899029,789056
356269000,1637849543,15,0,128.606491,34.899017,789056
356269000,1637850084,15,0,128.606506,34.899029,789056
356269000,1637850085,15,0,128.606506,34.899029,789056
356269000,1637850264,15,0,128.606506,34.899033,789056
356269000,1637850984,15,0,128.606506,34.898994,789056
356269000,1637851345,15,0,128.606506,34.898991,789056
356269000,1637852063,15,0,128.606506,34.898991,789056
356269000,1637852425,15,0,128.606537,34.898998,789056
356269000,1637852963,15,0,128.606522,34.89901,789056
356269000,1637853143,15,0,128.606537,34.899014,789056
356269000,1637854043,15,0,128.606506,34.899006,789056
356269000,1637854945,15,0,128.606522,34.899033,789056
356269000,1637854946,15,0,128.606522,34.899033,789056
356269000,1637855484,15,0,128.606522,34.899029,789056
356269000,1637855664,15,0,128.606506,34.899014,789056
356269000,1637856564,15,0,128.606552,34.899014,789056
356269000,1637857107,15,0,128.606552,34.89901,789056
356269000,1637857643,15,0,128.606537,34.89901,789056
356269000,1637858003,15,0,128.606537,34.898994,789056
356269000,1637858365,15,0,128.606537,34.898987,789056
356269000,1637859083,15,0,128.606552,34.898968,789056
356269000,1637860343,15,0,128.606537,34.899017,789056
356269000,1637860704,15,0,128.606522,34.89901,789056
356269000,1637861784,15,0,128.606537,34.898956,789056
356269000,1637862503,15,0,128.606537,34.898956,789056
356269000,1637862862,15,0,128.606552,34.89896,789056
356269000,1637863404,15,0,128.606552,34.898975,789056
356269000,1637863587,15,0,128.606552,34.898975,789056
356269000,1637863762,15,0,128.606567,34.898979,789056
